MapSplice_Breakpoint	Annotation
6335-13999	high_frequency_deletion
7816-14807	high_frequency_deletion
8471-13449	high_frequency_deletion
7720-15821	high_frequency_deletion
6545-13846	high_frequency_deletion
7126-14004	high_frequency_deletion
1105-13846	high_frequency_deletion
6329-13994	high_frequency_deletion
7981-15503	high_frequency_deletion
983-13803	high_frequency_deletion
7499-14426	high_frequency_deletion
8471-14377	high_frequency_deletion
1714-15517	high_frequency_deletion
7863-15382	high_frequency_deletion
8574-13999	high_frequency_deletion
7126-14529	high_frequency_deletion
8624-14815	high_frequency_deletion
1127-13868	high_frequency_deletion
8624-15335	high_frequency_deletion
6219-13449	high_frequency_deletion
5368-14055	high_frequency_deletion
7807-13999	high_frequency_deletion
8471-13584	high_frequency_deletion
8624-14055	high_frequency_deletion
6545-14419	high_frequency_deletion
7863-13449	high_frequency_deletion
5368-15335	high_frequency_deletion
6840-11136	high_frequency_deletion
3263-16072	high_frequency_deletion
7816-15382	high_frequency_deletion
3789-14807	high_frequency_deletion
3263-16071	high_frequency_deletion
7650-15286	high_frequency_deletion
6602-14649	high_frequency_deletion
440-13886	high_frequency_deletion
966-15547	high_frequency_deletion
1698-15335	high_frequency_deletion
4167-15335	high_frequency_deletion
3819-14745	high_frequency_deletion
7607-13019	high_frequency_deletion
3262-16072	high_frequency_deletion
2224-13792	high_frequency_deletion
6457-14867	high_frequency_deletion
1233-13449	high_frequency_deletion
6545-14335	high_frequency_deletion
9821-14990	high_frequency_deletion
3263-16070	high_frequency_deletion
9347-13855	high_frequency_deletion
8467-14055	high_frequency_deletion
4106-14529	high_frequency_deletion
529-13944	high_frequency_deletion
3570-14807	high_frequency_deletion
7816-13584	high_frequency_deletion
144-16108	high_frequency_deletion
3456-14387	high_frequency_deletion
3725-15368	high_frequency_deletion
9030-16115	high_frequency_deletion
7786-13978	high_frequency_deletion
3802-15415	high_frequency_deletion
6537-13838	high_frequency_deletion
1698-15410	high_frequency_deletion
966-15548	high_frequency_deletion
14054-14377	high_frequency_deletion
6468-15600	high_frequency_deletion
483-14145	high_frequency_deletion
898-16116	high_frequency_deletion
147-16072	high_frequency_deletion
7786-14807	high_frequency_deletion
3533-14563	high_frequency_deletion
511-13926	high_frequency_deletion
5444-14807	high_frequency_deletion
3570-14529	high_frequency_deletion
972-13792	high_frequency_deletion
3327-15740	high_frequency_deletion
381-13999	high_frequency_deletion
475-16168	high_frequency_deletion
3321-15527	high_frequency_deletion
9146-13818	high_frequency_deletion
381-13855	high_frequency_deletion
1922-15782	high_frequency_deletion
3577-15547	high_frequency_deletion
3470-14401	high_frequency_deletion
8970-15740	high_frequency_deletion
467-14122	high_frequency_deletion
5462-14807	high_frequency_deletion
7852-13634	high_frequency_deletion
9003-14563	high_frequency_deletion
458-14807	high_frequency_deletion
3597-13640	high_frequency_deletion
1233-14807	high_frequency_deletion
6545-14413	high_frequency_deletion
7852-15765	high_frequency_deletion
5177-13999	high_frequency_deletion
231-16160	high_frequency_deletion
495-14336	high_frequency_deletion
3272-16072	high_frequency_deletion
3262-16068	high_frequency_deletion
6820-14359	high_frequency_deletion
3272-16071	high_frequency_deletion
7126-14568	high_frequency_deletion
1714-15771	high_frequency_deletion
8926-14413	high_frequency_deletion
3789-14529	high_frequency_deletion
1714-15684	high_frequency_deletion
3260-16071	high_frequency_deletion
458-15382	high_frequency_deletion
7115-14695	high_frequency_deletion
1714-14482	high_frequency_deletion
8471-14807	high_frequency_deletion
7650-15403	high_frequency_deletion
5167-14685	high_frequency_deletion
9003-13855	high_frequency_deletion
538-14394	mid_frequency_deletion
3270-16072	mid_frequency_deletion
7650-15382	mid_frequency_deletion
9189-14990	mid_frequency_deletion
4259-13792	mid_frequency_deletion
6356-14067	mid_frequency_deletion
6830-14991	mid_frequency_deletion
3609-15491	mid_frequency_deletion
2513-14055	mid_frequency_deletion
6335-13855	mid_frequency_deletion
7376-14630	mid_frequency_deletion
480-14341	mid_frequency_deletion
5167-14024	mid_frequency_deletion
3270-16071	mid_frequency_deletion
8589-15740	mid_frequency_deletion
1714-13384	mid_frequency_deletion
5134-14359	mid_frequency_deletion
4238-14055	mid_frequency_deletion
9081-14529	mid_frequency_deletion
7941-14055	mid_frequency_deletion
522-13939	mid_frequency_deletion
3258-16069	mid_frequency_deletion
3269-16072	mid_frequency_deletion
6937-15382	mid_frequency_deletion
5153-15846	mid_frequency_deletion
959-14529	mid_frequency_deletion
7714-13792	mid_frequency_deletion
4909-14055	mid_frequency_deletion
7930-14044	mid_frequency_deletion
5444-14529	mid_frequency_deletion
148-16071	mid_frequency_deletion
4382-14807	mid_frequency_deletion
6999-14460	mid_frequency_deletion
