rCRS_NC_012920.1	16kb_LR_PrimerPosition
1	145
2	146
3	147
4	148
5	149
6	150
7	151
8	152
9	153
10	154
11	155
12	156
13	157
14	158
15	159
16	160
17	161
18	162
19	163
20	164
21	165
22	166
23	167
24	168
25	169
26	170
27	171
28	172
29	173
30	174
31	175
32	176
33	177
34	178
35	179
36	180
37	181
38	182
39	183
40	184
41	185
42	186
43	187
44	188
45	189
46	190
47	191
48	192
49	193
50	194
51	195
52	196
53	197
54	198
55	199
56	200
57	201
58	202
59	203
60	204
61	205
62	206
63	207
64	208
65	209
66	210
67	211
68	212
69	213
70	214
71	215
72	216
73	217
74	218
75	219
76	220
77	221
78	222
79	223
80	224
81	225
82	226
83	227
84	228
85	229
86	230
87	231
88	232
89	233
90	234
91	235
92	236
93	237
94	238
95	239
96	240
97	241
98	242
99	243
100	244
101	245
102	246
103	247
104	248
105	249
106	250
107	251
108	252
109	253
110	254
111	255
112	256
113	257
114	258
115	259
116	260
117	261
118	262
119	263
120	264
121	265
122	266
123	267
124	268
125	269
126	270
127	271
128	272
129	273
130	274
131	275
132	276
133	277
134	278
135	279
136	280
137	281
138	282
139	283
140	284
141	285
142	286
143	287
144	288
145	289
146	290
147	291
148	292
149	293
150	294
151	295
152	296
153	297
154	298
155	299
156	300
157	301
158	302
159	303
160	304
161	305
162	306
163	307
164	308
165	309
166	310
167	311
168	312
169	313
170	314
171	315
172	316
173	317
174	318
175	319
176	320
177	321
178	322
179	323
180	324
181	325
182	326
183	327
184	328
185	329
186	330
187	331
188	332
189	333
190	334
191	335
192	336
193	337
194	338
195	339
196	340
197	341
198	342
199	343
200	344
201	345
202	346
203	347
204	348
205	349
206	350
207	351
208	352
209	353
210	354
211	355
212	356
213	357
214	358
215	359
216	360
217	361
218	362
219	363
220	364
221	365
222	366
223	367
224	368
225	369
226	370
227	371
228	372
229	373
230	374
231	375
232	376
233	377
234	378
235	379
236	380
237	381
238	382
239	383
240	384
241	385
242	386
243	387
244	388
245	389
246	390
247	391
248	392
249	393
250	394
251	395
252	396
253	397
254	398
255	399
256	400
257	401
258	402
259	403
260	404
261	405
262	406
263	407
264	408
265	409
266	410
267	411
268	412
269	413
270	414
271	415
272	416
273	417
274	418
275	419
276	420
277	421
278	422
279	423
280	424
281	425
282	426
283	427
284	428
285	429
286	430
287	431
288	432
289	433
290	434
291	435
292	436
293	437
294	438
295	439
296	440
297	441
298	442
299	443
300	444
301	445
302	446
303	447
304	448
305	449
306	450
307	451
308	452
309	453
310	454
311	455
312	456
313	457
314	458
315	459
316	460
317	461
318	462
319	463
320	464
321	465
322	466
323	467
324	468
325	469
326	470
327	471
328	472
329	473
330	474
331	475
332	476
333	477
334	478
335	479
336	480
337	481
338	482
339	483
340	484
341	485
342	486
343	487
344	488
345	489
346	490
347	491
348	492
349	493
350	494
351	495
352	496
353	497
354	498
355	499
356	500
357	501
358	502
359	503
360	504
361	505
362	506
363	507
364	508
365	509
366	510
367	511
368	512
369	513
370	514
371	515
372	516
373	517
374	518
375	519
376	520
377	521
378	522
379	523
380	524
381	525
382	526
383	527
384	528
385	529
386	530
387	531
388	532
389	533
390	534
391	535
392	536
393	537
394	538
395	539
396	540
397	541
398	542
399	543
400	544
401	545
402	546
403	547
404	548
405	549
406	550
407	551
408	552
409	553
410	554
411	555
412	556
413	557
414	558
415	559
416	560
417	561
418	562
419	563
420	564
421	565
422	566
423	567
424	568
425	569
426	570
427	571
428	572
429	573
430	574
431	575
432	576
433	577
434	578
435	579
436	580
437	581
438	582
439	583
440	584
441	585
442	586
443	587
444	588
445	589
446	590
447	591
448	592
449	593
450	594
451	595
452	596
453	597
454	598
455	599
456	600
457	601
458	602
459	603
460	604
461	605
462	606
463	607
464	608
465	609
466	610
467	611
468	612
469	613
470	614
471	615
472	616
473	617
474	618
475	619
476	620
477	621
478	622
479	623
480	624
481	625
482	626
483	627
484	628
485	629
486	630
487	631
488	632
489	633
490	634
491	635
492	636
493	637
494	638
495	639
496	640
497	641
498	642
499	643
500	644
501	645
502	646
503	647
504	648
505	649
506	650
507	651
508	652
509	653
510	654
511	655
512	656
513	657
514	658
515	659
516	660
517	661
518	662
519	663
520	664
521	665
522	666
523	667
524	668
525	669
526	670
527	671
528	672
529	673
530	674
531	675
532	676
533	677
534	678
535	679
536	680
537	681
538	682
539	683
540	684
541	685
542	686
543	687
544	688
545	689
546	690
547	691
548	692
549	693
550	694
551	695
552	696
553	697
554	698
555	699
556	700
557	701
558	702
559	703
560	704
561	705
562	706
563	707
564	708
565	709
566	710
567	711
568	712
569	713
570	714
571	715
572	716
573	717
574	718
575	719
576	720
577	721
578	722
579	723
580	724
581	725
582	726
583	727
584	728
585	729
586	730
587	731
588	732
589	733
590	734
591	735
592	736
593	737
594	738
595	739
596	740
597	741
598	742
599	743
600	744
601	745
602	746
603	747
604	748
605	749
606	750
607	751
608	752
609	753
610	754
611	755
612	756
613	757
614	758
615	759
616	760
617	761
618	762
619	763
620	764
621	765
622	766
623	767
624	768
625	769
626	770
627	771
628	772
629	773
630	774
631	775
632	776
633	777
634	778
635	779
636	780
637	781
638	782
639	783
640	784
641	785
642	786
643	787
644	788
645	789
646	790
647	791
648	792
649	793
650	794
651	795
652	796
653	797
654	798
655	799
656	800
657	801
658	802
659	803
660	804
661	805
662	806
663	807
664	808
665	809
666	810
667	811
668	812
669	813
670	814
671	815
672	816
673	817
674	818
675	819
676	820
677	821
678	822
679	823
680	824
681	825
682	826
683	827
684	828
685	829
686	830
687	831
688	832
689	833
690	834
691	835
692	836
693	837
694	838
695	839
696	840
697	841
698	842
699	843
700	844
701	845
702	846
703	847
704	848
705	849
706	850
707	851
708	852
709	853
710	854
711	855
712	856
713	857
714	858
715	859
716	860
717	861
718	862
719	863
720	864
721	865
722	866
723	867
724	868
725	869
726	870
727	871
728	872
729	873
730	874
731	875
732	876
733	877
734	878
735	879
736	880
737	881
738	882
739	883
740	884
741	885
742	886
743	887
744	888
745	889
746	890
747	891
748	892
749	893
750	894
751	895
752	896
753	897
754	898
755	899
756	900
757	901
758	902
759	903
760	904
761	905
762	906
763	907
764	908
765	909
766	910
767	911
768	912
769	913
770	914
771	915
772	916
773	917
774	918
775	919
776	920
777	921
778	922
779	923
780	924
781	925
782	926
783	927
784	928
785	929
786	930
787	931
788	932
789	933
790	934
791	935
792	936
793	937
794	938
795	939
796	940
797	941
798	942
799	943
800	944
801	945
802	946
803	947
804	948
805	949
806	950
807	951
808	952
809	953
810	954
811	955
812	956
813	957
814	958
815	959
816	960
817	961
818	962
819	963
820	964
821	965
822	966
823	967
824	968
825	969
826	970
827	971
828	972
829	973
830	974
831	975
832	976
833	977
834	978
835	979
836	980
837	981
838	982
839	983
840	984
841	985
842	986
843	987
844	988
845	989
846	990
847	991
848	992
849	993
850	994
851	995
852	996
853	997
854	998
855	999
856	1000
857	1001
858	1002
859	1003
860	1004
861	1005
862	1006
863	1007
864	1008
865	1009
866	1010
867	1011
868	1012
869	1013
870	1014
871	1015
872	1016
873	1017
874	1018
875	1019
876	1020
877	1021
878	1022
879	1023
880	1024
881	1025
882	1026
883	1027
884	1028
885	1029
886	1030
887	1031
888	1032
889	1033
890	1034
891	1035
892	1036
893	1037
894	1038
895	1039
896	1040
897	1041
898	1042
899	1043
900	1044
901	1045
902	1046
903	1047
904	1048
905	1049
906	1050
907	1051
908	1052
909	1053
910	1054
911	1055
912	1056
913	1057
914	1058
915	1059
916	1060
917	1061
918	1062
919	1063
920	1064
921	1065
922	1066
923	1067
924	1068
925	1069
926	1070
927	1071
928	1072
929	1073
930	1074
931	1075
932	1076
933	1077
934	1078
935	1079
936	1080
937	1081
938	1082
939	1083
940	1084
941	1085
942	1086
943	1087
944	1088
945	1089
946	1090
947	1091
948	1092
949	1093
950	1094
951	1095
952	1096
953	1097
954	1098
955	1099
956	1100
957	1101
958	1102
959	1103
960	1104
961	1105
962	1106
963	1107
964	1108
965	1109
966	1110
967	1111
968	1112
969	1113
970	1114
971	1115
972	1116
973	1117
974	1118
975	1119
976	1120
977	1121
978	1122
979	1123
980	1124
981	1125
982	1126
983	1127
984	1128
985	1129
986	1130
987	1131
988	1132
989	1133
990	1134
991	1135
992	1136
993	1137
994	1138
995	1139
996	1140
997	1141
998	1142
999	1143
1000	1144
1001	1145
1002	1146
1003	1147
1004	1148
1005	1149
1006	1150
1007	1151
1008	1152
1009	1153
1010	1154
1011	1155
1012	1156
1013	1157
1014	1158
1015	1159
1016	1160
1017	1161
1018	1162
1019	1163
1020	1164
1021	1165
1022	1166
1023	1167
1024	1168
1025	1169
1026	1170
1027	1171
1028	1172
1029	1173
1030	1174
1031	1175
1032	1176
1033	1177
1034	1178
1035	1179
1036	1180
1037	1181
1038	1182
1039	1183
1040	1184
1041	1185
1042	1186
1043	1187
1044	1188
1045	1189
1046	1190
1047	1191
1048	1192
1049	1193
1050	1194
1051	1195
1052	1196
1053	1197
1054	1198
1055	1199
1056	1200
1057	1201
1058	1202
1059	1203
1060	1204
1061	1205
1062	1206
1063	1207
1064	1208
1065	1209
1066	1210
1067	1211
1068	1212
1069	1213
1070	1214
1071	1215
